Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,0
/pez/service_rtt_magnet/call_id,8.000000,8.000000,416.000000,212.000000
/pez/service_rtt_magnet/request_stamp/nanosec,497433947.000000,497049820.000000,997497384.000000,747285461.262195
/pez/service_rtt_magnet/request_stamp/sec,1753950817.000000,1753950817.000000,1753951061.000000,1753950939.000000
/pez/service_rtt_magnet/response_stamp/nanosec,505798405.000000,4920852.000000,511521711.000000,258179312.365854
/pez/service_rtt_magnet/response_stamp/sec,1753950817.000000,1753950817.000000,1753951062.000000,1753950939.500000
/pez/service_rtt_magnet/rtt/nanosec,8364458.000000,7593334.000000,15297249.000000,10893851.103659
/pez/service_rtt_magnet/rtt/sec,0.000000,0.000000,0.000000,0.000000
/pez/service_rtt_magnet/success,1.000000,1.000000,1.000000,1.000000
/pez/service_rtt_neutral/call_id,7.000000,7.000000,412.000000,209.500000
/pez/service_rtt_neutral/request_stamp/nanosec,497256161.000000,497097612.000000,497523327.000000,497301445.036585
/pez/service_rtt_neutral/request_stamp/sec,1753950816.000000,1753950816.000000,1753951059.000000,1753950937.500000
/pez/service_rtt_neutral/response_stamp/nanosec,504932551.000000,503982484.000000,510969775.000000,506991182.500000
/pez/service_rtt_neutral/response_stamp/sec,1753950816.000000,1753950816.000000,1753951059.000000,1753950937.500000
/pez/service_rtt_neutral/rtt/nanosec,7676390.000000,6747239.000000,13623446.000000,9689737.463415
/pez/service_rtt_neutral/rtt/sec,0.000000,0.000000,0.000000,0.000000
/pez/service_rtt_neutral/success,1.000000,1.000000,1.000000,1.000000
/pez/service_rtt_start/call_id,10.000000,10.000000,415.000000,212.500000
/pez/service_rtt_start/request_stamp/nanosec,497250692.000000,496995741.000000,497471304.000000,497258168.426829
/pez/service_rtt_start/request_stamp/sec,1753950818.000000,1753950818.000000,1753951061.000000,1753950939.500000
/pez/service_rtt_start/response_stamp/nanosec,507068285.000000,504244240.000000,510869220.000000,506970430.365854
/pez/service_rtt_start/response_stamp/sec,1753950818.000000,1753950818.000000,1753951061.000000,1753950939.500000
/pez/service_rtt_start/rtt/nanosec,9817593.000000,6938824.000000,13673532.000000,9712261.939024
/pez/service_rtt_start/rtt/sec,0.000000,0.000000,0.000000,0.000000
/pez/service_rtt_start/success,1.000000,1.000000,1.000000,1.000000
/pez/service_rtt_stop/call_id,9.000000,9.000000,414.000000,211.500000
/pez/service_rtt_stop/request_stamp/nanosec,997398812.000000,997082750.000000,997479948.000000,997286783.134146
/pez/service_rtt_stop/request_stamp/sec,1753950817.000000,1753950817.000000,1753951060.000000,1753950938.500000
/pez/service_rtt_stop/response_stamp/nanosec,47383881.000000,46264236.000000,50424842.000000,47790172.500000
/pez/service_rtt_stop/response_stamp/sec,1753950818.000000,1753950818.000000,1753951061.000000,1753950939.500000
/pez/service_rtt_stop/rtt/nanosec,49985069.000000,48966404.000000,53121564.000000,50503389.365854
/pez/service_rtt_stop/rtt/sec,0.000000,0.000000,0.000000,0.000000
/pez/service_rtt_stop/success,1.000000,1.000000,1.000000,1.000000
rt_ms_stop,49.985069,48.966404,53.121564,50.503389
rtt_ms_magnet,8.364458,7.593334,15.297249,10.893851
rtt_ms_neutral,7.676390,6.747239,13.623446,9.689737
rtt_ms_start,9.817593,6.938824,13.673532,9.712262
